CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
84941,776,QEP,WOLFCAMP B,7214,1789,38
68944,777,QEP,SPRABERRY MIDDLE,7240,1274,30
85758.9921875,778,QEP,SPRABERRY LOWER,7059,1410,31
82476,779,QEP,SPRABERRY LOWER,7002,1291,31
84607,780,QEP,SPRABERRY MIDDLE,7161,1288,32
79115,781,QEP,SPRABERRY LOWER,7119,1367,31
67396,782,QEP,SPRABERRY LOWER,7167,1372,16
79092,783,QEP,SPRABERRY MIDDLE,7117,1383,30
80405,784,QEP,WOLFCAMP B,6972,1819,41
93581,785,QEP,WOLFCAMP A,7118,1815,38
96562,786,QEP,WOLFCAMP A,7208,1805,39
151378,787,QEP,WOLFCAMP A,7161,1804,39
119577,788,QEP,WOLFCAMP A,7272,1812,38
88101,789,QEP,SPRABERRY LOWER,6963,1436,31
60057,790,QEP,SPRABERRY LOWER,7026,1314,31
69805,791,QEP,SPRABERRY MIDDLE,6985,1359,32
165484.67,795,CPE,WOLFCAMP A,7802,1899,55
148045.1,796,CPE,WOLFCAMP A,7802,1935,54
29461.12109375,797,FANG,WOLFCAMP A,5627,1266,20
40842.921875,798,FANG,WOLFCAMP A,5930,1274,20
29037.181640625,799,FANG,WOLFCAMP A,5927,1590,21
23856.197265625,800,FANG,WOLFCAMP A,5837,1028,19
42993.125,801,FANG,WOLFCAMP A,5927,996,17
33833.015625,802,FANG,WOLFCAMP A,5775,1021,19
50729.56640625,803,FANG,WOLFCAMP B,5927,1257,21
59037.81640625,804,FANG,WOLFCAMP B,5927,2467,20
46647.921875,805,FANG,WOLFCAMP B,5927,1260,21
43626.65234375,806,FANG,WOLFCAMP B,5927,1305,20
29983.224609375,807,FANG,WOLFCAMP B,5927,1007,18
33131.5,808,FANG,WOLFCAMP B,5852,910,22
38209.87109375,809,FANG,WOLFCAMP B,5852,953,18
55974.00390625,830,APA,WOLFCAMP A,4408,2943,26
65541,831,APA,WOLFCAMP B,4467,2858,24
130146,832,APA,WOLFCAMP B,5074,1768,52
158518.015625,833,APA,WOLFCAMP B,5024,1707,52
84748.34375,834,APA,WOLFCAMP B,5106,2554,72
80597.359375,835,APA,WOLFCAMP B,5105,2430,76
98160.1875,836,APA,WOLFCAMP B,5157,1841,45
111771.4296875,837,APA,WOLFCAMP B,5109,1691,57
63126.25390625,838,APA,WOLFCAMP B,5090,1648,51
72470.4296875,839,APA,WOLFCAMP B,4949,1676,56
82444.015625,840,APA,WOLFCAMP A,5043,1701,52
76168.484375,841,APA,WOLFCAMP B,5055,1810,54
124903.78125,842,APA,WOLFCAMP B,5108,1703,50
70912.296875,843,APA,WOLFCAMP B,5026,1698,51
94718.296875,844,APA,WOLFCAMP B,5026,1775,56
77832.125,845,APA,WOLFCAMP B,5033,1699,51
100560.03125,846,APA,WOLFCAMP B,5081,1698,51
86423,847,HANNATHON,WOLFCAMP A,7617,2746,64
51270.6015625,848,OVV,WOLFCAMP A,7688,1628,39
28252.544921875,849,OVV,WOLFCAMP A,6901,2047,39
104197.4765625,850,OVV,WOLFCAMP B,7743,1891,34
78946.453125,851,OVV,WOLFCAMP A,6977,2027,39
73319.4375,856,OVV,WOLFCAMP A,4700,1516,30
90495.296875,857,OVV,WOLFCAMP B,4708,1513,30
29023.64453125,881,SABLE,WOLFCAMP B,7862,708,23
56398,882,SABLE,WOLFCAMP B,6013,667,11
70505.59375,883,SABLE,WOLFCAMP B,7800,661,22
49847.703125,884,SABLE,WOLFCAMP B,7802,671,22
43139.609375,885,SABLE,WOLFCAMP B,7802,684,23
67359.7890625,886,SABLE,WOLFCAMP B,7802,717,23
38364.9765625,887,SABLE,WOLFCAMP B,7802,683,24
105058,888,PXD,WOLFCAMP B,4898,1860,44
81890.9609375,889,OVV,WOLFCAMP A,7690,3031,63
127008.609375,890,OVV,WOLFCAMP B,7714,3015,63
129633.5625,891,OVV,SPRABERRY LOWER,7713,2998,63
134448.875,892,OVV,WOLFCAMP A,7703,2786,62
72255.0703125,893,OVV,WOLFCAMP B,7704,3038,65
94625.9140625,894,OVV,WOLFCAMP A,7702,1791,7
190326,895,OVV,WOLFCAMP B,7324,1932,59
168580.53125,896,OVV,WOLFCAMP B,7586,2024,47
75189,897,COP,WOLFCAMP B,5043,1725,41
138479.328125,899,ENDVR,WOLFCAMP A,7171,1621,43
157632.671875,900,ENDVR,WOLFCAMP B,7621,1616,43
64817.94921875,901,LPI,WOLFCAMP D,4920,304,8
44762.4375,905,LPI,WOLFCAMP D,3848,1113.5,43
113397.65625,906,ENDVR,SPRABERRY LOWER,6901,1624,44
122832.34375,907,ENDVR,WOLFCAMP A,6900,1628,43
119185.15625,908,ENDVR,WOLFCAMP B,6901,1626,46
109429.3984375,909,ENDVR,WOLFCAMP A,6901,1631,44
53238.27734375,912,SABALO,SPRABERRY LOWER,7137,1927,47
87477.7890625,913,SABALO,WOLFCAMP A,7034,1976,60
114526.5078125,914,COP,SPRABERRY LOWER,7357,1439,35
94563.3828125,915,COP,SPRABERRY LOWER,7220,1468,36
49046.23828125,916,COP,WOLFCAMP B,7120,1209,27
88489.1640625,917,COP,WOLFCAMP A,7360,1120,36
99690.578125,918,COP,SPRABERRY LOWER,7352,1440,38
87053.953125,919,COP,WOLFCAMP A,7220,1466,39
122883.7734375,920,COP,SPRABERRY LOWER,7106,1813,41
98216.6015625,921,COP,WOLFCAMP B,7106,1780,40
138215.953125,922,COP,SPRABERRY LOWER,7106,1841,39
64226.60546875,923,COP,SPRABERRY LOWER,7106,1842,32
123151.8203125,924,COP,WOLFCAMP A,6974,1862,40
109450.6171875,925,COP,WOLFCAMP B,6974,1861,41
