CumOil12Month,rowID,Operator,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT
101907.515625,1426,LPI,WOLFCAMP B,10832,1794,55
168950.484375,1427,LPI,WOLFCAMP A,10646,1840,56
121096.7890625,1428,LPI,WOLFCAMP B,10820,1817,59
175114.21875,1429,LPI,WOLFCAMP A,10820,1820,55
108468.1640625,1430,LPI,WOLFCAMP B,10850,1785,58
163430.84375,1431,LPI,WOLFCAMP A,10755,1847,55
89583,1432,LPI,WOLFCAMP A,10850,1806,55
125369,1433,LGCY,SPRABERRY LOWER,10282,1594,38
121984,1435,LGCY,SPRABERRY LOWER,10298,1626,38
139497,1436,LGCY,WOLFCAMP A,10290,1487,37
247756.703125,1441,LPI,WOLFCAMP D,9934,1794,64
112903,1443,LPI,WOLFCAMP D,9949,1769,65
100241.7265625,1445,LPI,WOLFCAMP D,9936,1817,66
164858.234375,1448,LPI,WOLFCAMP D,9924,1792,68
217994.984375,1478,CVX,WOLFCAMP B,9975,1678,62
126474.59375,1483,PXD,WOLFCAMP A,10022,2565,46
221071.078125,1484,PXD,WOLFCAMP A,10172,2558,46
142385.140625,1489,PXD,WOLFCAMP B,9924,1974,47
133369.765625,1492,PXD,WOLFCAMP A,10028,2614,46
215504.03125,1494,PXD,WOLFCAMP A,10487,1904,40
249672.609375,1495,PXD,WOLFCAMP A,10487,1907,40
274158.78125,1496,PXD,WOLFCAMP A,10337,1903,41
173139.796875,1498,PXD,WOLFCAMP B,9986,2006,42
204088.546875,1499,PXD,WOLFCAMP B,9986,1971,42
178776.78125,1500,PXD,WOLFCAMP A,10487,1876,42
266281.78125,1501,PXD,WOLFCAMP A,10337,1882,41
298177.71875,1502,PXD,WOLFCAMP A,10337,1876,42
185930.890625,1513,SABALO,WOLFCAMP A,10137,1988,40
187474,1547,CRWNQST,WOLFCAMP B,9953,1587,40
269313,1559,CRWNQST,WOLFCAMP A,9902,3073,72
187351.015625,1560,CRWNQST,WOLFCAMP A,10027,2008,52
217286.46875,1584,SM,WOLFCAMP A,9911,1881,62
188681.671875,1585,SM,WOLFCAMP A,9972,1868,62
156218.859375,1586,SM,WOLFCAMP A,9978,1864,64
190418,1587,SM,WOLFCAMP A,10057,1869,55
219993.609375,1607,SM,WOLFCAMP A,10349,1864,56
66823.5546875,1608,SM,WOLFCAMP A,10361,1862,56
202423.765625,1609,SM,WOLFCAMP A,10403,1869,60
171179.09375,1610,SM,WOLFCAMP B,10374,1860,57
298372,1611,SM,WOLFCAMP B,10376,1859,56
56892.5078125,1612,PXD,WOLFCAMP A,10259,1753,43
197780.5,1613,PXD,WOLFCAMP A,10256,1753,43
122381,1614,PXD,WOLFCAMP A,10181,1552,40
51092.38671875,1617,XOM,WOLFCAMP B,10386,1709,61
240416.640625,1618,XOM,WOLFCAMP B,10262,1711,61
